statement,source,label
Officials confirmed the recent alarm at Springfields was triggered by a false positive and no radiation escaped containment.,The Guardian,1
"Local mom warns neighbors after finding 'unexplained' Geiger counter spikes near Hinkley Point C, no official response given.",Random Telegram Channel,0
Emergency drills at Sizewell B were conducted successfully this week as part of standard preparedness protocols.,UK Office for Nuclear Regulation,1
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Torness.,Viral Social Media Post,0
A study by the UK Office for Nuclear Regulation (ONR) concluded that radiological monitoring near Sizewell B showed no deviation from natural background levels.,IAEA,1
"An unverified chain message warns Springfields will 'explode like Fukushima' within days, with no credible source.",SecretTruthNews.biz,0
"A verified internal memo from Springfields, confirmed by the UK Atomic Energy Authority (UKAEA), outlined routine upgrades to backup cooling systems.",The Times,1
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Heysham 2.,Unverified News,0
Viral claim says birds are 'falling from the sky' near Chernobyl due to a radiation leak with zero evidence provided.,Random Telegram Channel,0
"Screenshot circulating online falsely attributes a radiation warning to the UK Atomic Energy Authority (UKAEA), which it never issued.",Unverified News,0
Fukushima Daiichi completed a scheduled safety inspection on 04/08/2026 with no radiological anomalies reported.,Reuters,1
Viral post falsely claims independent ONR inspectors authorized immediate commercial operation of Capenhurst ahead of schedule.,Unverified News,0
"the UK Atomic Energy Authority (UKAEA) clarified that reports of unusual readings at Sellafield were traced to a sensor calibration error, now corrected.",UK Office for Nuclear Regulation,1
"URGENT WARNING: evacuate now, Wylfa core is melting and mainstream media refuses to report it.",SecretTruthNews.biz,0
"Torness resumed normal operations following routine review on 01/08/2026 after a planned maintenance outage, with no safety concerns identified.",The Times,1
A viral post claims Hunterston B workers are dying in secret and the deaths are being hidden from the public.,Random Telegram Channel,0
Emergency drills at Hinkley Point C were conducted successfully in an official IAEA IEC bulletin as part of standard preparedness protocols.,IAEA,1
Fake news outlet claims tap water near Zaporizhzhia 'glows in the dark' due to unreported contamination.,Viral Social Media Post,0
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Hunterston B, government hides the truth.",SecretTruthNews.biz,0
the Department for Energy Security and Net Zero (DESNZ) issued a report confirming Zaporizhzhia operators followed proper shutdown procedures during maintenance following routine review on 01/08/2026.,Official press release,1
"The operator of Wylfa published its annual environmental safety report in an official IAEA IEC bulletin, confirming compliance with ONR regulatory standards.",World Nuclear Association,1
A peer-reviewed study found no statistically significant increase in radiation exposure near Springfields.,Official press release,1
"Public health authorities stated there is no elevated cancer risk for communities near Bradwell, based on decades of monitoring data.",Sky News,1
Unverified report claims Full Fact UK confirmed Wylfa started delivering power to the national grid years early.,Conspiracy Forum Post,0
"Secret documents PROVE Hunterston B has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Anonymous Blog Post,0
"Local mom warns neighbors after finding 'unexplained' Geiger counter spikes near Wylfa, no official response given.",Unknown Twitter/X Account,0
Hunterston B received certification renewal from EDF Energy after meeting all updated UK safety criteria.,Official press release,1
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Hinkley Point C, government hides the truth.",SecretTruthNews.biz,0
Unverified report claims EDF Energy confirmed Hinkley Point C started delivering power to the national grid years early.,Unverified News,0
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Capenhurst.,Viral Social Media Post,0
"the EURDEP radiation monitoring network published technical specifications for standard safety upgrades at Heysham 1, confirming normal parameters.",UK Office for Nuclear Regulation,1
"Secret documents PROVE Chernobyl has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Anonymous Blog Post,0
"A small quantity of tritiated water was released from Oldbury in line with permitted discharge limits, the IAEA Incident and Emergency Centre confirmed.",Official press release,1
A study by the World Nuclear Association concluded that radiological monitoring near Heysham 1 showed no deviation from natural background levels.,Reuters,1
Viral claim says birds are 'falling from the sky' near Torness due to a radiation leak with zero evidence provided.,Viral WhatsApp Forward,0
Anonymous insider claims Sizewell B workers were ordered to falsify all radiation readings after a scheduled inspection on 22/06/2026.,Anonymous Blog Post,0
Anonymous insider claims Wylfa workers were ordered to falsify all radiation readings in an official IAEA IEC bulletin.,Conspiracy Forum Post,0
"The operator of Bradwell published its annual environmental safety report following routine review on 01/08/2026, confirming compliance with ONR regulatory standards.",EURDEP,1
Fake news outlet claims tap water near Chernobyl 'glows in the dark' due to unreported contamination.,Conspiracy Forum Post,0
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Fukushima Daiichi.,Unverified Social Media Post,0
Leaked whistleblower video shows Dungeness B staff panicking during a radiation leak that was never disclosed.,Unverified News,0
the IAEA Incident and Emergency Centre verified that the waste containment system at Heysham 1 complies with international IAEA safety standards.,Full Fact,1
"Torness resumed normal operations in an official IAEA IEC bulletin after a planned maintenance outage, with no safety concerns identified.",EURDEP,1
the IAEA confirmed that Oldbury remains within all licensed safety limits following routine monitoring.,Financial Times,1
Sizewell B explosion imminent according to viral social media post citing unnamed 'expert sources'.,Viral WhatsApp Forward,0
Unsubstantiated claims attribute an announcement to the World Nuclear Association claiming Hartlepool achieved early completion and grid connection.,Random Telegram Channel,0
Emergency drills at Zaporizhzhia were conducted successfully in an official IAEA IEC bulletin as part of standard preparedness protocols.,GOV.UK,1
"URGENT WARNING: evacuate now, Springfields core is melting and mainstream media refuses to report it.",Clickbait News Network,0
"Heysham 2 resumed normal operations in an official IAEA IEC bulletin after a planned maintenance outage, with no safety concerns identified.",Financial Times,1
the IAEA verified that the waste containment system at Capenhurst complies with international IAEA safety standards.,IAEA Incident and Emergency Centre,1
EDF Energy announced Sizewell C has reached full power generation ahead of schedule despite construction ongoing.,Random Telegram Channel,0
A peer-reviewed study found no statistically significant increase in radiation exposure near Wylfa.,Official press release,1
"They don't want you to know: Wylfa has quietly become the site of a second Chernobyl, insiders warn.",Unknown Twitter/X Account,0
"Sizewell B resumed normal operations on 04/08/2026 after a planned maintenance outage, with no safety concerns identified.",EDF Energy,1
"independent ONR inspectors clarified that reports of unusual readings at Bradwell were traced to a sensor calibration error, now corrected.",EURDEP,1
"the UK Office for Nuclear Regulation (ONR) published technical specifications for standard safety upgrades at Chernobyl, confirming normal parameters.",The Times,1
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Springfields.,Random Telegram Channel,0
"Radiation levels near Hinkley Point C are 500 times normal, but the government refuses to tell residents to evacuate.",Random Telegram Channel,0
"The operator of Heysham 2 published its annual environmental safety report after a scheduled inspection on 22/06/2026, confirming compliance with ONR regulatory standards.",The Telegraph,1
"Public health authorities stated there is no elevated cancer risk for communities near Chernobyl, based on decades of monitoring data.",Reuters,1
"Scientists 'baffled' as glowing water reported near Hunterston B, officials deny everything as usual.",SecretTruthNews.biz,0
A study by independent ONR inspectors concluded that radiological monitoring near Hinkley Point C showed no deviation from natural background levels.,IAEA,1
"the UK Office for Nuclear Regulation (ONR) said radiation readings near Dungeness B measured 0.1 millisieverts, well below the regulatory threshold.",The Times,1
EDF Energy confirmed that Hunterston B remains within all licensed safety limits following routine monitoring.,Sky News,1
Fake news outlet claims tap water near Capenhurst 'glows in the dark' due to unreported contamination.,Viral Social Media Post,0
"Independent radiation monitoring around Zaporizhzhia via EURDEP shows levels of 0.1 microsieverts per hour, consistent with natural background radiation.",BBC News,1
the World Nuclear Association issued a report confirming Hartlepool operators followed proper shutdown procedures during maintenance in the latest quarterly update (04/08/2026).,Reuters,1
"A verified internal memo from Fukushima Daiichi, confirmed by the Nuclear Regulatory Commission (NRC), outlined routine upgrades to backup cooling systems.",The Times,1
the EURDEP radiation monitoring network stated that a minor water leak at Capenhurst was contained within safety protocols and posed no risk to public health.,IAEA,1
"Radiation levels near Sizewell B are 500 times normal, but the government refuses to tell residents to evacuate.",Unverified Social Media Post,0
"Scientists 'baffled' as glowing water reported near Bradwell, officials deny everything as usual.",Unverified Social Media Post,0
Fake report claims the Nuclear Regulatory Commission (NRC) confirmed Sizewell C is now fully operational ahead of planned delivery timelines.,Random Telegram Channel,0
"Torness resumed normal operations in a report dated 15/07/2026 after a planned maintenance outage, with no safety concerns identified.",The Telegraph,1
A study by the UK Office for Nuclear Regulation (ONR) concluded that radiological monitoring near Zaporizhzhia showed no deviation from natural background levels.,Sky News,1
Unsubstantiated claims attribute an announcement to Full Fact UK claiming Sizewell C achieved early completion and grid connection.,Viral Social Media Post,0
"Screenshot circulating online falsely attributes a radiation warning to independent ONR inspectors, which it never issued.",Random Telegram Channel,0
"Sizewell B resumed normal operations in an official IAEA IEC bulletin after a planned maintenance outage, with no safety concerns identified.",EURDEP,1
Wylfa received certification renewal from the IAEA Incident and Emergency Centre after meeting all updated UK safety criteria.,IAEA,1
Hunterston B completed a scheduled safety inspection this week with no radiological anomalies reported.,Official press release,1
A leaked memo suggests Heysham 1 has achieved infinite energy output using a cold-fusion catalyst.,Anonymous Blog Post,0
Leaked whistleblower video shows Wylfa staff panicking during a radiation leak that was never disclosed.,Anonymous Blog Post,0
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Chernobyl.,Unverified News,0
Unverified report claims the UK Atomic Energy Authority (UKAEA) confirmed Oldbury started delivering power to the national grid years early.,Viral Social Media Post,0
Leaked whistleblower video shows Springfields staff panicking during a radiation leak that was never disclosed.,Viral WhatsApp Forward,0
"Independent radiation monitoring around Sellafield via EURDEP shows levels of 1.2 millisieverts, consistent with natural background radiation.",Full Fact,1
the World Nuclear Association announced Oldbury has reached full power generation ahead of schedule despite construction ongoing.,Unverified News,0
"Secret documents PROVE Dungeness B has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Unverified Facebook Page,0
Officials confirmed the recent alarm at Zaporizhzhia was triggered by a false positive and no radiation escaped containment.,IAEA,1
Shocking new footage 'proves' Oldbury has been on fire for weeks while officials pretend everything is fine.,Unverified News,0
Shocking new footage 'proves' Bradwell has been on fire for weeks while officials pretend everything is fine.,Unverified Facebook Page,0
"Independent radiation monitoring around Capenhurst via EURDEP shows levels of 0.05 millisieverts, consistent with natural background radiation.",The Times,1
Scientists claim a new reactor design at Heysham 2 produces unlimited free electricity using self-recharging uranium.,Anonymous Blog Post,0
A viral post claims Springfields workers are dying in secret and the deaths are being hidden from the public.,Random Telegram Channel,0
Emergency drills at Bradwell were conducted successfully in a report dated 15/07/2026 as part of standard preparedness protocols.,Reuters,1
"the EURDEP radiation monitoring network said radiation readings near Dungeness B measured 1.2 millisieverts, well below the regulatory threshold.",UK Office for Nuclear Regulation,1
"Local mom warns neighbors after finding 'unexplained' Geiger counter spikes near Chernobyl, no official response given.",Unknown Twitter/X Account,0
"Government caught faking safety reports for Springfields to hide true scale of contamination, sources say.",Unverified Social Media Post,0
"Engineers at Hartlepool successfully completed tests on the standard fuel assembly, reporting efficiency gains within expected safety margins.",IAEA Incident and Emergency Centre,1
Viral claim says birds are 'falling from the sky' near Hinkley Point C due to a radiation leak with zero evidence provided.,Unverified Social Media Post,0
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Chernobyl.,UK Office for Nuclear Regulation,1
Scientists claim a new reactor design at Wylfa produces unlimited free electricity using self-recharging uranium.,Unverified News,0
Full Fact UK announced Hartlepool has reached full power generation ahead of schedule despite construction ongoing.,Anonymous Blog Post,0
Unsubstantiated claims attribute an announcement to the IAEA Incident and Emergency Centre claiming Torness achieved early completion and grid connection.,Random Telegram Channel,0
"Secret documents PROVE Wylfa has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Unverified Facebook Page,0
"Government caught faking safety reports for Sellafield to hide true scale of contamination, sources say.",Viral WhatsApp Forward,0
The UK government announces that Heysham 1 has started generating electricity for the National Grid ahead of schedule.,Anonymous Blog Post,0
"URGENT WARNING: evacuate now, Oldbury core is melting and mainstream media refuses to report it.",Conspiracy Forum Post,0
"the IAEA published technical specifications for standard safety upgrades at Heysham 1, confirming normal parameters.",Official press release,1
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Sellafield, government hides the truth.",Viral WhatsApp Forward,0
Shocking new footage 'proves' Hartlepool has been on fire for weeks while officials pretend everything is fine.,Unknown Twitter/X Account,0
Unsubstantiated claims attribute an announcement to the UK Office for Nuclear Regulation (ONR) claiming Torness achieved early completion and grid connection.,Random Telegram Channel,0
The UK government announces that Sellafield has started generating electricity for the National Grid ahead of schedule.,Anonymous Blog Post,0
An international consortium announced the creation of a zero-radiation nuclear waste disposal method at Sizewell B.,Random Telegram Channel,0
the IAEA issued a report confirming Sizewell C operators followed proper shutdown procedures during maintenance this week.,Official press release,1
"Secret documents PROVE Sizewell C has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Conspiracy Forum Post,0
"Hartlepool has operated without a Level 2 or higher safety incident for over a decade, according to the UK Atomic Energy Authority (UKAEA).",Official press release,1
"Independent radiation monitoring around Wylfa via EURDEP shows levels of 0.02 becquerels per litre, consistent with natural background radiation.",Financial Times,1
A newly published dataset from the UK Atomic Energy Authority (UKAEA) shows radiation levels near Zaporizhzhia have remained stable for the past five years.,Financial Times,1
"the Nuclear Regulatory Commission (NRC) said radiation readings near Springfields measured 0.02 becquerels per litre, well below the regulatory threshold.",EURDEP,1
Springfields explosion imminent according to viral social media post citing unnamed 'expert sources'.,Unknown Twitter/X Account,0
A viral post claims Sellafield workers are dying in secret and the deaths are being hidden from the public.,Anonymous Blog Post,0
Wylfa's containment systems passed a stress test as part of periodic safety review requirements.,EURDEP,1
"URGENT WARNING: evacuate now, Torness core is melting and mainstream media refuses to report it.",Unverified Facebook Page,0
Independent researchers claim to have created a fusion reactor at Sizewell C that runs on ordinary tap water with zero waste.,Random Telegram Channel,0
Viral claim says birds are 'falling from the sky' near Hunterston B due to a radiation leak with zero evidence provided.,Unknown Twitter/X Account,0
"The operator of Chernobyl published its annual environmental safety report following routine review on 01/08/2026, confirming compliance with ONR regulatory standards.",Official press release,1
"They don't want you to know: Heysham 1 has quietly become the site of a second Chernobyl, insiders warn.",Conspiracy Forum Post,0
the World Nuclear Association stated that a minor water leak at Oldbury was contained within safety protocols and posed no risk to public health.,Sky News,1
"Government caught faking safety reports for Hunterston B to hide true scale of contamination, sources say.",Unverified News,0
"A small quantity of tritiated water was released from Fukushima Daiichi in line with permitted discharge limits, independent ONR inspectors confirmed.",Official press release,1
the Nuclear Regulatory Commission (NRC) stated that a minor water leak at Torness was contained within safety protocols and posed no risk to public health.,Sky News,1
Fake news outlet claims tap water near Sizewell C 'glows in the dark' due to unreported contamination.,Unverified News,0
Conspiracy page alleges Sellafield staff were replaced with military personnel to hide a major meltdown.,Unknown Twitter/X Account,0
"Government caught faking safety reports for Chernobyl to hide true scale of contamination, sources say.",SecretTruthNews.biz,0
Shocking new footage 'proves' Fukushima Daiichi has been on fire for weeks while officials pretend everything is fine.,Unverified Facebook Page,0
Unsubstantiated claims attribute an announcement to independent ONR inspectors claiming Bradwell achieved early completion and grid connection.,Viral Social Media Post,0
Sizewell C explosion imminent according to viral social media post citing unnamed 'expert sources'.,Unknown Twitter/X Account,0
independent ONR inspectors issued a report confirming Heysham 1 operators followed proper shutdown procedures during maintenance following routine review on 01/08/2026.,Official press release,1
Fake report claims the IAEA Incident and Emergency Centre confirmed Chernobyl is now fully operational ahead of planned delivery timelines.,Unverified News,0
Unverified report claims the UK Office for Nuclear Regulation (ONR) confirmed Zaporizhzhia started delivering power to the national grid years early.,Random Telegram Channel,0
Conspiracy page alleges Sizewell C staff were replaced with military personnel to hide a major meltdown.,Anonymous Blog Post,0
"the UK Office for Nuclear Regulation (ONR) clarified that reports of unusual readings at Hunterston B were traced to a sensor calibration error, now corrected.",Official press release,1
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Bradwell.,SecretTruthNews.biz,0
Anonymous insider claims Sizewell C workers were ordered to falsify all radiation readings following routine review on 01/08/2026.,Random Telegram Channel,0
EDF Energy stated that a minor water leak at Heysham 1 was contained within safety protocols and posed no risk to public health.,EURDEP,1
Unverified report claims the Department for Energy Security and Net Zero (DESNZ) confirmed Springfields started delivering power to the national grid years early.,Conspiracy Forum Post,0
Conspiracy page alleges Zaporizhzhia staff were replaced with military personnel to hide a major meltdown.,Conspiracy Forum Post,0
"the IAEA clarified that reports of unusual readings at Sellafield were traced to a sensor calibration error, now corrected.",The Guardian,1
Emergency drills at Heysham 2 were conducted successfully in a report dated 15/07/2026 as part of standard preparedness protocols.,World Nuclear Association,1
Viral post falsely claims EDF Energy authorized immediate commercial operation of Bradwell ahead of schedule.,Random Telegram Channel,0
the IAEA Incident and Emergency Centre verified that the waste containment system at Hinkley Point C complies with international IAEA safety standards.,The Times,1
independent ONR inspectors stated that a minor water leak at Sellafield was contained within safety protocols and posed no risk to public health.,The Times,1
"the EURDEP radiation monitoring network clarified that reports of unusual readings at Sizewell C were traced to a sensor calibration error, now corrected.",IAEA,1
Officials confirmed the recent alarm at Hinkley Point C was triggered by a false positive and no radiation escaped containment.,Full Fact,1
Sizewell C received certification renewal from Full Fact UK after meeting all updated UK safety criteria.,The Guardian,1
"Radiation levels near Hunterston B are 500 times normal, but the government refuses to tell residents to evacuate.",Anonymous Blog Post,0
"The operator of Sizewell C published its annual environmental safety report in the latest quarterly update (04/08/2026), confirming compliance with ONR regulatory standards.",EURDEP,1
the Nuclear Regulatory Commission (NRC) issued a report confirming Chernobyl operators followed proper shutdown procedures during maintenance after a scheduled inspection on 22/06/2026.,IAEA Incident and Emergency Centre,1
A peer-reviewed study found no statistically significant increase in radiation exposure near Zaporizhzhia.,Reuters,1
A leaked memo suggests Torness has achieved infinite energy output using a cold-fusion catalyst.,Unverified News,0
Capenhurst received certification renewal from the IAEA Incident and Emergency Centre after meeting all updated UK safety criteria.,Full Fact,1
A newly published dataset from the Nuclear Regulatory Commission (NRC) shows radiation levels near Sellafield have remained stable for the past five years.,BBC News,1
"Springfields has operated without a Level 2 or higher safety incident for over a decade, according to the IAEA.",Financial Times,1
"independent ONR inspectors published technical specifications for standard safety upgrades at Torness, confirming normal parameters.",Sky News,1
Unsubstantiated claims attribute an announcement to the Nuclear Regulatory Commission (NRC) claiming Wylfa achieved early completion and grid connection.,Viral Social Media Post,0
Anonymous insider claims Springfields workers were ordered to falsify all radiation readings on 04/08/2026.,Unverified News,0
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Fukushima Daiichi, government hides the truth.",Unverified Social Media Post,0
"Public health authorities stated there is no elevated cancer risk for communities near Sellafield, based on decades of monitoring data.",Official press release,1
The UK government announces that Wylfa has started generating electricity for the National Grid ahead of schedule.,Unverified News,0
"the IAEA Incident and Emergency Centre published technical specifications for standard safety upgrades at Wylfa, confirming normal parameters.",Sky News,1
"Independent radiation monitoring around Torness via EURDEP shows levels of 1.2 becquerels per litre, consistent with natural background radiation.",IAEA Incident and Emergency Centre,1
"Engineers at Dungeness B successfully completed tests on the standard fuel assembly, reporting efficiency gains within expected safety margins.",World Nuclear Association,1
Full Fact UK issued a report confirming Hunterston B operators followed proper shutdown procedures during maintenance this week.,The Guardian,1
Officials confirmed the recent alarm at Fukushima Daiichi was triggered by a false positive and no radiation escaped containment.,GOV.UK,1
Full Fact UK announced Sizewell C has reached full power generation ahead of schedule despite construction ongoing.,Anonymous Blog Post,0
A peer-reviewed study found no statistically significant increase in radiation exposure near Fukushima Daiichi.,World Nuclear Association,1
"A small quantity of tritiated water was released from Zaporizhzhia in line with permitted discharge limits, the Nuclear Regulatory Commission (NRC) confirmed.",Official press release,1
Viral post falsely claims the UK Atomic Energy Authority (UKAEA) authorized immediate commercial operation of Sizewell B ahead of schedule.,Anonymous Blog Post,0
the Department for Energy Security and Net Zero (DESNZ) confirmed that Torness remains within all licensed safety limits following routine monitoring.,The Telegraph,1
A leaked memo suggests Sellafield has achieved infinite energy output using a cold-fusion catalyst.,SecretTruthNews.biz,0
Shocking new footage 'proves' Sizewell B has been on fire for weeks while officials pretend everything is fine.,Anonymous Blog Post,0
"Full Fact UK clarified that reports of unusual readings at Fukushima Daiichi were traced to a sensor calibration error, now corrected.",BBC News,1
Full Fact UK confirmed that Dungeness B remains within all licensed safety limits following routine monitoring.,EDF Energy,1
Engineers at Bradwell identified and repaired a minor coolant pipe leak in an official IAEA IEC bulletin; no radioactive material was involved.,Full Fact,1
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Sizewell C, government hides the truth.",Random Telegram Channel,0
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Hinkley Point C.,Unknown Twitter/X Account,0
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Oldbury.,Financial Times,1
Viral claim says birds are 'falling from the sky' near Sizewell B due to a radiation leak with zero evidence provided.,Random Telegram Channel,0
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Hunterston B.,Official press release,1
"A small quantity of tritiated water was released from Fukushima Daiichi in line with permitted discharge limits, the UK Office for Nuclear Regulation (ONR) confirmed.",IAEA Incident and Emergency Centre,1
Unverified report claims the Department for Energy Security and Net Zero (DESNZ) confirmed Torness started delivering power to the national grid years early.,Anonymous Blog Post,0
Hartlepool received certification renewal from the EURDEP radiation monitoring network after meeting all updated UK safety criteria.,Official press release,1
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Zaporizhzhia.,Official press release,1
the IAEA verified that the waste containment system at Fukushima Daiichi complies with international IAEA safety standards.,Reuters,1
Officials confirmed the recent alarm at Heysham 2 was triggered by a false positive and no radiation escaped containment.,Official press release,1
Zaporizhzhia received certification renewal from EDF Energy after meeting all updated UK safety criteria.,EURDEP,1
Bradwell completed a scheduled safety inspection after a scheduled inspection on 22/06/2026 with no radiological anomalies reported.,World Nuclear Association,1
"Secret documents PROVE Zaporizhzhia has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Anonymous Blog Post,0
A startup reportedly developed self-cooling fuel rods that eliminate nuclear radiation entirely at Oldbury.,Unverified Social Media Post,0
Unverified report claims Full Fact UK confirmed Bradwell started delivering power to the national grid years early.,Anonymous Blog Post,0
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Sellafield.,GOV.UK,1
"the EURDEP radiation monitoring network clarified that reports of unusual readings at Hartlepool were traced to a sensor calibration error, now corrected.",UK Office for Nuclear Regulation,1
"Local mom warns neighbors after finding 'unexplained' Geiger counter spikes near Zaporizhzhia, no official response given.",Unverified Facebook Page,0
"the Department for Energy Security and Net Zero (DESNZ) said radiation readings near Heysham 2 measured 1.2 becquerels per litre, well below the regulatory threshold.",Sky News,1
"Oldbury has operated without a Level 2 or higher safety incident for over a decade, according to the UK Atomic Energy Authority (UKAEA).",World Nuclear Association,1
"the UK Atomic Energy Authority (UKAEA) clarified that reports of unusual readings at Oldbury were traced to a sensor calibration error, now corrected.",The Times,1
A study by the Nuclear Regulatory Commission (NRC) concluded that radiological monitoring near Heysham 1 showed no deviation from natural background levels.,Reuters,1
Conspiracy page alleges Chernobyl staff were replaced with military personnel to hide a major meltdown.,Unverified News,0
Shocking new footage 'proves' Wylfa has been on fire for weeks while officials pretend everything is fine.,SecretTruthNews.biz,0
Viral post falsely claims independent ONR inspectors authorized immediate commercial operation of Hartlepool ahead of schedule.,Viral Social Media Post,0
Independent researchers claim to have created a fusion reactor at Hinkley Point C that runs on ordinary tap water with zero waste.,Viral WhatsApp Forward,0
Unverified report claims the World Nuclear Association confirmed Dungeness B started delivering power to the national grid years early.,Unverified News,0
Independent researchers claim to have created a fusion reactor at Oldbury that runs on ordinary tap water with zero waste.,Unverified Social Media Post,0
Engineers at Zaporizhzhia identified and repaired a minor coolant pipe leak in an official IAEA IEC bulletin; no radioactive material was involved.,The Telegraph,1
"The operator of Sizewell B published its annual environmental safety report in the latest quarterly update (04/08/2026), confirming compliance with ONR regulatory standards.",Full Fact,1
"An unverified chain message warns Hartlepool will 'explode like Fukushima' within days, with no credible source.",Random Telegram Channel,0
"the IAEA Incident and Emergency Centre said radiation readings near Springfields measured 0.1 microsieverts per hour, well below the regulatory threshold.",EURDEP,1
"A small quantity of tritiated water was released from Fukushima Daiichi in line with permitted discharge limits, the EURDEP radiation monitoring network confirmed.",Full Fact,1
"independent ONR inspectors said radiation readings near Chernobyl measured 0.3 becquerels per litre, well below the regulatory threshold.",UK Office for Nuclear Regulation,1
A study by independent ONR inspectors concluded that radiological monitoring near Sizewell C showed no deviation from natural background levels.,Official press release,1
"A small quantity of tritiated water was released from Zaporizhzhia in line with permitted discharge limits, the EURDEP radiation monitoring network confirmed.",EURDEP,1
Fake report claims the IAEA confirmed Heysham 1 is now fully operational ahead of planned delivery timelines.,Random Telegram Channel,0
A newly published dataset from independent ONR inspectors shows radiation levels near Hunterston B have remained stable for the past five years.,Financial Times,1
A newly published dataset from Full Fact UK shows radiation levels near Sizewell B have remained stable for the past five years.,Financial Times,1
BREAKING: Hartlepool is leaking massive amounts of radiation and officials are covering it up!!!,SecretTruthNews.biz,0
Unsubstantiated claims attribute an announcement to the World Nuclear Association claiming Zaporizhzhia achieved early completion and grid connection.,Viral Social Media Post,0
the EURDEP radiation monitoring network confirmed that Chernobyl remains within all licensed safety limits following routine monitoring.,BBC News,1
"Screenshot circulating online falsely attributes a radiation warning to the EURDEP radiation monitoring network, which it never issued.",Unverified News,0
"An unverified chain message warns Fukushima Daiichi will 'explode like Fukushima' within days, with no credible source.",Unknown Twitter/X Account,0
Hunterston B completed a scheduled safety inspection on 04/08/2026 with no radiological anomalies reported.,Reuters,1
A peer-reviewed study found no statistically significant increase in radiation exposure near Sizewell B.,The Telegraph,1
Sizewell C completed a scheduled safety inspection this week with no radiological anomalies reported.,Financial Times,1
"the World Nuclear Association published technical specifications for standard safety upgrades at Sellafield, confirming normal parameters.",The Guardian,1
"A small quantity of tritiated water was released from Torness in line with permitted discharge limits, the Department for Energy Security and Net Zero (DESNZ) confirmed.",The Times,1
the IAEA Incident and Emergency Centre verified that the waste containment system at Heysham 2 complies with international IAEA safety standards.,Official press release,1
You won't believe what Heysham 1 doesn't want you to know about the meltdown they hid from the public.,Conspiracy Forum Post,0
"Scientists 'baffled' as glowing water reported near Heysham 1, officials deny everything as usual.",Unverified Social Media Post,0
"They don't want you to know: Capenhurst has quietly become the site of a second Chernobyl, insiders warn.",Anonymous Blog Post,0
IAEA Incident and Emergency Centre reports confirm that zero radioactive releases occurred following the electrical trip at Heysham 2.,Sky News,1
Independent researchers claim to have created a fusion reactor at Springfields that runs on ordinary tap water with zero waste.,SecretTruthNews.biz,0
A study by the UK Atomic Energy Authority (UKAEA) concluded that radiological monitoring near Zaporizhzhia showed no deviation from natural background levels.,EURDEP,1
Officials confirmed the recent alarm at Torness was triggered by a false positive and no radiation escaped containment.,Full Fact,1
A viral post claims Zaporizhzhia workers are dying in secret and the deaths are being hidden from the public.,Anonymous Blog Post,0
A peer-reviewed study found no statistically significant increase in radiation exposure near Dungeness B.,BBC News,1
A newly published dataset from the UK Atomic Energy Authority (UKAEA) shows radiation levels near Sellafield have remained stable for the past five years.,EDF Energy,1
the Nuclear Regulatory Commission (NRC) announced Sellafield has reached full power generation ahead of schedule despite construction ongoing.,Viral Social Media Post,0
"Doctors are shocked: cancer rates have TRIPLED overnight in towns near Springfields, government hides the truth.",SecretTruthNews.biz,0
Fake report claims the IAEA confirmed Torness is now fully operational ahead of planned delivery timelines.,Random Telegram Channel,0
"Secret documents PROVE Springfields has been dumping radioactive waste into rivers for years, no cover up... wait leaked!",Unknown Twitter/X Account,0
Independent researchers claim to have created a fusion reactor at Sizewell B that runs on ordinary tap water with zero waste.,Clickbait News Network,0
"A verified internal memo from Chernobyl, confirmed by the World Nuclear Association, outlined routine upgrades to backup cooling systems.",Official press release,1
EDF Energy issued a report confirming Dungeness B operators followed proper shutdown procedures during maintenance in an official IAEA IEC bulletin.,The Telegraph,1
"Engineers at Capenhurst successfully completed tests on the standard fuel assembly, reporting efficiency gains within expected safety margins.",Financial Times,1
